liga,family,period,direction,predictions,hit_rate,brier
brasileirao,escanteios_handicap,FT,away_minus_2_5,1855,0.20107816711590296,0.3654289944502985
brasileirao,escanteios_handicap,FT,away_minus_3_5,1855,0.1477088948787062,0.4955985474893011
brasileirao,escanteios_handicap,FT,away_minus_4_5,1855,0.09703504043126684,0.6359868057797795
brasileirao,escanteios_handicap,FT,away_plus_1_5,1855,0.5234501347708895,0.3442383279537532
brasileirao,escanteios_handicap,FT,away_plus_2_5,1855,0.6064690026954178,0.4580944642884456
brasileirao,escanteios_handicap,FT,away_plus_3_5,1855,0.6846361185983828,0.5793064411037089
brasileirao,escanteios_handicap,FT,away_plus_4_5,1855,0.7676549865229111,0.6996930001713938
brasileirao,escanteios_handicap,FT,home_minus_1_5,1855,0.4765498652291105,0.24665565702945477
brasileirao,escanteios_handicap,FT,home_minus_2_5,1855,0.3935309973045822,0.236911021673408
brasileirao,escanteios_handicap,FT,home_minus_3_5,1855,0.31536388140161725,0.2177953413709473
brasileirao,escanteios_handicap,FT,home_minus_4_5,1855,0.23234501347708894,0.17949963533373436
brasileirao,escanteios_handicap,FT,home_plus_1_5,1855,0.7315363881401618,0.1966375142400465
brasileirao,escanteios_handicap,FT,home_plus_2_5,1855,0.798921832884097,0.16282918670610763
brasileirao,escanteios_handicap,FT,home_plus_3_5,1855,0.8522911051212938,0.12897018020137482
brasileirao,escanteios_handicap,FT,home_plus_4_5,1855,0.9029649595687331,0.0898317791729795
brasileirao,escanteios_handicap,HT,away_minus_1_5,1855,0.20107816711590296,0.39676866770292424
brasileirao,escanteios_handicap,HT,away_minus_2_5,1855,0.10512129380053908,0.6202272322372623
brasileirao,escanteios_handicap,HT,away_plus_1_5,1855,0.6221024258760108,0.44007998756465194
brasileirao,escanteios_handicap,HT,away_plus_2_5,1855,0.7487870619946092,0.6415696353779482
brasileirao,escanteios_handicap,HT,home_minus_1_5,1855,0.3778975741239892,0.23650564980044397
brasileirao,escanteios_handicap,HT,home_minus_2_5,1855,0.25121293800539085,0.19338230656532332
brasileirao,escanteios_handicap,HT,home_plus_1_5,1855,0.798921832884097,0.1603911765192613
brasileirao,escanteios_handicap,HT,home_plus_2_5,1855,0.894878706199461,0.0938823270791188
brasileirao,escanteios_oddeven,FT,impar,1855,0.505121293800539,0.24999999997819156
brasileirao,escanteios_oddeven,FT,par,1855,0.4948787061994609,0.249999999957792
brasileirao,escanteios_oddeven,HT,impar,1855,0.492722371967655,0.2499960265470829
brasileirao,escanteios_oddeven,HT,par,1855,0.507277628032345,0.2499960265470829
